,Unnamed: 0,Trial,AoI,Onset,Offset,Duration,Feature,Block
0,0,1,5.0,0.0,0.344,0.344,2.0,1
1,2,1,4.0,0.352,0.836,0.484,5.0,1
2,28,2,4.0,0.0,0.28,0.28,4.0,1
3,30,2,7.0,0.288,0.476,0.188,5.0,1
4,31,2,8.0,0.48,0.652,0.172,1.0,1
5,32,2,10.0,0.656,0.912,0.256,10.0,1
6,49,3,10.0,0.0,0.2,0.2,10.0,1
7,51,3,5.0,0.208,0.216,0.0079999999999999,3.0,1
8,52,3,10.0,0.22,0.324,0.104,10.0,1
9,53,3,8.0,0.328,1.112,0.784,2.0,1
10,73,4,1.0,0.0,0.224,0.224,6.0,1
11,75,4,4.0,0.232,0.236,0.004,4.0,1
12,77,4,7.0,0.244,0.608,0.364,5.0,1
13,94,5,1.0,0.0,0.22,0.22,4.0,1
14,96,5,4.0,0.228,0.736,0.508,5.0,1
15,113,6,1.0,0.0,0.224,0.224,4.0,1
16,114,6,4.0,0.228,0.476,0.248,5.0,1
17,115,6,5.0,0.48,2.572,2.092,2.0,1
18,126,7,10.0,0.0,0.196,0.196,10.0,1
19,127,7,2.0,0.2,0.204,0.004,2.0,1
20,128,7,3.0,0.208,0.212,0.0039999999999999,9.0,1
21,129,7,2.0,0.216,0.232,0.016,2.0,1
22,131,7,5.0,0.24,0.244,0.004,3.0,1
23,132,7,10.0,0.248,0.252,0.004,10.0,1
24,135,7,9.0,0.264,0.276,0.012,7.0,1
25,136,7,10.0,0.28,0.284,0.004,10.0,1
26,137,7,8.0,0.288,0.54,0.252,1.0,1
27,148,8,2.0,0.0,0.364,0.364,3.0,1
28,150,8,5.0,0.372,0.528,0.156,1.0,1
29,151,8,4.0,0.532,0.784,0.252,6.0,1
30,165,9,10.0,0.0,0.208,0.208,10.0,1
31,166,9,5.0,0.212,0.336,0.124,1.0,1
32,167,9,10.0,0.34,0.344,0.004,10.0,1
33,168,9,9.0,0.348,2.428,2.08,7.0,1
34,179,10,2.0,0.0,0.284,0.284,3.0,1
35,180,10,1.0,0.288,0.416,0.128,5.0,1
36,182,10,5.0,0.424,0.428,0.004,1.0,1
37,183,10,10.0,0.432,0.436,0.004,10.0,1
38,184,10,8.0,0.44,0.444,0.004,2.0,1
39,185,10,9.0,0.448,1.116,0.6680000000000001,7.0,1
40,194,11,5.0,0.0,0.284,0.284,3.0,1
41,195,11,6.0,0.288,0.34,0.0519999999999999,8.0,1
42,196,11,3.0,0.344,0.812,0.468,7.0,1
43,213,12,5.0,0.0,0.212,0.212,2.0,1
44,214,12,10.0,0.216,0.228,0.012,10.0,1
45,215,12,6.0,0.232,0.248,0.0159999999999999,9.0,1
46,217,12,9.0,0.256,0.628,0.372,7.0,1
47,255,13,10.0,0.0,0.068,0.068,10.0,1
48,257,13,10.0,0.076,0.092,0.016,10.0,1
49,258,13,5.0,0.096,0.104,0.008,2.0,1
50,259,13,10.0,0.108,0.128,0.02,10.0,1
51,260,13,5.0,0.132,0.144,0.012,2.0,1
52,261,13,10.0,0.148,0.16,0.012,10.0,1
53,262,13,5.0,0.164,0.188,0.0239999999999999,2.0,1
54,263,13,10.0,0.192,0.196,0.004,10.0,1
55,265,13,10.0,0.204,0.228,0.0239999999999999,10.0,1
56,266,13,5.0,0.232,0.24,0.0079999999999999,2.0,1
57,267,13,10.0,0.244,0.256,0.012,10.0,1
58,268,13,2.0,0.26,0.312,0.0519999999999999,1.0,1
59,270,13,5.0,0.32,0.756,0.436,2.0,1
60,287,14,5.0,0.0,0.004,0.004,2.0,1
61,289,14,6.0,0.012,0.016,0.004,9.0,1
62,291,14,5.0,0.024,0.204,0.18,2.0,1
63,294,14,9.0,0.216,0.388,0.172,7.0,1
64,295,14,8.0,0.392,2.64,2.248,3.0,1
65,304,15,5.0,0.0,0.268,0.268,2.0,1
66,305,15,10.0,0.272,0.428,0.1559999999999999,10.0,1
67,306,15,2.0,0.432,0.68,0.248,1.0,1
68,308,15,5.0,0.6880000000000001,0.952,0.264,2.0,1
69,310,15,2.0,0.96,1.272,0.312,1.0,1
70,311,15,3.0,1.276,1.756,0.48,7.0,1
71,338,16,10.0,0.0,0.052,0.052,10.0,1
72,339,16,8.0,0.056,0.272,0.216,1.0,1
73,341,16,9.0,0.28,0.468,0.188,7.0,1
74,364,17,10.0,0.0,0.292,0.292,10.0,1
75,365,17,6.0,0.296,0.3,0.004,9.0,1
76,367,17,9.0,0.308,0.488,0.18,7.0,1
77,385,18,10.0,0.0,0.276,0.276,10.0,1
78,386,18,6.0,0.28,0.38,0.0999999999999999,7.0,1
79,388,18,5.0,0.388,0.6880000000000001,0.3,2.0,1
80,402,19,8.0,0.0,0.704,0.704,1.0,1
81,422,20,10.0,0.0,0.248,0.248,10.0,1
82,423,20,5.0,0.252,1.388,1.136,1.0,1
83,445,21,7.0,0.0,0.16,0.16,6.0,1
84,446,21,8.0,0.164,0.18,0.0159999999999999,2.0,1
85,448,21,9.0,0.188,0.244,0.0559999999999999,9.0,1
86,449,21,10.0,0.248,0.256,0.008,10.0,1
87,450,21,8.0,0.26,0.38,0.12,2.0,1
88,451,21,9.0,0.384,0.548,0.164,9.0,1
89,452,21,8.0,0.552,1.372,0.8200000000000001,2.0,1
90,474,22,5.0,0.0,0.244,0.244,1.0,1
91,475,22,4.0,0.248,1.268,1.02,4.0,1
92,486,23,8.0,0.0,0.452,0.452,2.0,1
93,487,23,9.0,0.456,0.476,0.02,9.0,1
94,488,23,10.0,0.48,0.504,0.024,10.0,1
95,489,23,10.0,0.536,0.5680000000000001,0.032,10.0,1
96,515,24,1.0,0.0,1.0,1.0,4.0,1
97,516,24,2.0,1.004,1.336,0.3320000000000001,2.0,1
98,517,24,1.0,1.34,1.964,0.6239999999999999,4.0,1
99,535,25,6.0,0.0,0.532,0.532,9.0,1
100,537,25,6.0,0.54,1.048,0.508,9.0,1
101,554,26,6.0,0.0,0.056,0.056,7.0,1
102,556,26,5.0,0.064,1.064,1.0,1.0,1
103,572,27,2.0,0.0,1.376,1.376,3.0,1
104,591,28,2.0,0.0,0.216,0.216,1.0,1
105,592,28,1.0,0.22,1.316,1.096,4.0,1
106,609,29,7.0,0.0,1.032,1.032,4.0,1
107,632,30,7.0,0.0,1.072,1.072,5.0,1
108,654,31,1.0,0.0,1.44,1.44,6.0,1
109,675,32,3.0,0.0,0.424,0.424,9.0,1
110,677,32,5.0,0.432,1.052,0.6200000000000001,1.0,1
111,692,33,2.0,0.0,0.1,0.1,3.0,1
112,693,33,1.0,0.104,1.108,1.004,5.0,1
113,711,34,4.0,0.0,1.036,1.036,4.0,1
114,737,35,5.0,0.0,0.8,0.8,1.0,1
115,762,36,1.0,0.0,1.056,1.056,4.0,1
116,797,37,4.0,0.0,1.096,1.096,6.0,1
117,818,38,1.0,0.0,1.98,1.98,4.0,1
118,828,39,4.0,0.0,1.016,1.016,4.0,1
119,857,40,2.0,0.0,0.368,0.368,2.0,1
120,858,40,3.0,0.372,0.5,0.128,8.0,1
121,0,41,5.0,0.0,0.004,0.004,3.0,2
122,1,41,4.0,0.008,0.224,0.216,6.0,2
123,3,41,10.0,0.232,0.364,0.1319999999999999,10.0,2
124,4,41,5.0,0.368,0.992,0.624,3.0,2
125,19,42,1.0,0.0,0.228,0.228,6.0,2
126,20,42,10.0,0.232,0.236,0.004,10.0,2
127,21,42,5.0,0.24,0.592,0.352,2.0,2
128,23,42,2.0,0.6,0.812,0.212,3.0,2
129,24,42,10.0,0.8160000000000001,0.8200000000000001,0.004,10.0,2
130,25,42,5.0,0.8240000000000001,0.8320000000000001,0.008,2.0,2
131,26,42,10.0,0.836,0.844,0.008,10.0,2
132,27,42,5.0,0.848,1.412,0.564,2.0,2
133,38,43,5.0,0.0,0.044,0.044,1.0,2
134,39,43,10.0,0.048,0.284,0.236,10.0,2
135,40,43,5.0,0.288,0.292,0.0039999999999999,1.0,2
136,41,43,10.0,0.296,0.3,0.004,10.0,2
137,44,43,1.0,0.312,0.476,0.164,4.0,2
138,45,43,2.0,0.48,1.576,1.096,3.0,2
139,57,44,4.0,0.0,0.316,0.316,6.0,2
140,59,44,7.0,0.324,0.484,0.1599999999999999,4.0,2
141,60,44,8.0,0.488,1.016,0.528,1.0,2
