Trial,Block,Subj,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime,FeatureEntropy,Animals,Landscapes,Objects,DimensionEntropy
1,1,23,0.0,0.27609427609427606,0.0,0.0,0.15319865319865333,0.0,0.4225589225589226,0.0,0.0,0.14814814814814814,2.376,0.4581889419924357,0.27609427609427606,0.15319865319865333,0.4225589225589226,0.9163778839848714
1,1,26,0.0,0.0,0.14984709480122332,0.0,0.0,0.17431192660550437,0.3608562691131498,0.0,0.0,0.3149847094801226,1.3079999999999998,0.4354355866545435,0.14984709480122332,0.17431192660550437,0.3608562691131498,0.870871173309087
1,1,27,0.0,0.0,0.4393939393939391,0.0,0.010606060606060603,0.0,0.0,0.0,0.4863636363636365,0.06363636363636363,2.6400000000000006,0.3459493674807822,0.4393939393939391,0.010606060606060603,0.4863636363636365,0.6918987349615644
1,1,28,0.3959390862944161,0.0,0.0,0.0,0.09983079526226728,0.0,0.0,0.0,0.26565143824027077,0.23857868020304587,2.3640000000000003,0.4319144936672612,0.3959390862944161,0.09983079526226728,0.26565143824027077,0.8638289873345224
1,1,29,0.11421911421911418,0.0,0.04662004662004663,0.0,0.08857808857808888,0.0,0.31468531468531463,0.0,0.37762237762237777,0.058275058275057995,1.7159999999999997,0.6085063590228788,0.1608391608391608,0.08857808857808888,0.6923076923076924,0.6946855117273538
1,1,30,0.0,0.0,0.3518518518518525,0.561728395061728,0.0,0.0,0.0,0.006172839506172841,0.0,0.0802469135802467,1.2959999999999998,0.3290057341339205,0.3518518518518525,0.561728395061728,0.006172839506172841,0.658011468267841
1,1,31,0.0,0.27698309492847845,0.0,0.0,0.6814044213263979,0.0,0.0,0.0,0.0,0.04161248374512354,3.076,0.2807982494130726,0.27698309492847845,0.6814044213263979,0.0,0.5615964988261452
1,1,34,0.0,0.4090909090909088,0.0,0.011857707509881419,0.0,0.0,0.29446640316205547,0.0,0.1363636363636364,0.14822134387351782,2.024000000000001,0.47785095729173793,0.4090909090909088,0.011857707509881419,0.4308300395256919,0.7109112878486081
1,1,35,0.001557632398753894,0.2772585669781931,0.0,0.0,0.44548286604361365,0.10436137071651097,0.0,0.16043613707165094,0.003115264797507788,0.00778816199376947,2.568,0.5795287813024771,0.278816199376947,0.5498442367601246,0.16355140186915873,0.8930434030616083
1,1,36,0.0,0.6141479099678459,0.0,0.0,0.0,0.270096463022508,0.0,0.009646302250803858,0.0,0.10610932475884227,2.4880000000000004,0.317550208082266,0.6141479099678459,0.270096463022508,0.009646302250803858,0.635100416164532
