,Unnamed: 0,Trial,AoI,Onset,Offset,Duration,Feature,Block
0,0,1,5.0,0.0,0.384,0.384,9.0,1
1,1,1,10.0,0.388,0.392,0.004,10.0,1
2,2,1,1.0,0.396,0.468,0.072,4.0,1
3,3,1,10.0,0.472,0.48,0.0079999999999999,10.0,1
4,4,1,2.0,0.484,0.544,0.06,7.0,1
5,6,1,5.0,0.552,0.556,0.004,9.0,1
6,7,1,10.0,0.56,0.5640000000000001,0.004,10.0,1
7,8,1,8.0,0.5680000000000001,0.76,0.1919999999999999,8.0,1
8,9,1,10.0,0.764,0.908,0.144,10.0,1
9,10,1,8.0,0.912,1.516,0.604,8.0,1
10,18,2,4.0,0.0,0.088,0.088,4.0,1
11,19,2,10.0,0.092,0.16,0.068,10.0,1
12,20,2,4.0,0.164,0.184,0.0199999999999999,4.0,1
13,21,2,10.0,0.188,0.248,0.06,10.0,1
14,22,2,7.0,0.252,0.464,0.212,5.0,1
15,23,2,8.0,0.468,0.684,0.216,9.0,1
16,24,2,7.0,0.6880000000000001,1.108,0.42,5.0,1
17,39,3,10.0,0.0,0.224,0.224,10.0,1
18,40,3,2.0,0.228,0.956,0.7280000000000001,8.0,1
19,53,4,10.0,0.0,0.028,0.028,10.0,1
20,54,4,2.0,0.032,0.228,0.196,9.0,1
21,56,4,5.0,0.236,0.244,0.0079999999999999,7.0,1
22,58,4,8.0,0.252,0.264,0.012,8.0,1
23,59,4,10.0,0.268,0.348,0.08,10.0,1
24,60,4,8.0,0.352,0.48,0.128,8.0,1
25,61,4,7.0,0.484,0.88,0.396,4.0,1
26,80,5,10.0,0.0,0.232,0.232,10.0,1
27,81,5,4.0,0.236,0.24,0.0039999999999999,5.0,1
28,82,5,5.0,0.244,0.252,0.008,9.0,1
29,83,5,10.0,0.256,0.352,0.0959999999999999,10.0,1
30,84,5,5.0,0.356,0.368,0.012,9.0,1
31,86,5,2.0,0.376,0.944,0.5680000000000001,8.0,1
32,122,6,4.0,0.0,0.876,0.876,5.0,1
33,151,7,5.0,0.0,0.404,0.404,9.0,1
34,152,7,10.0,0.408,0.416,0.008,10.0,1
35,153,7,2.0,0.42,0.74,0.32,7.0,1
36,154,7,1.0,0.744,1.116,0.3720000000000001,4.0,1
37,174,8,5.0,0.0,0.22,0.22,9.0,1
38,175,8,4.0,0.224,0.332,0.108,4.0,1
39,176,8,10.0,0.336,0.344,0.008,10.0,1
40,177,8,5.0,0.348,0.612,0.2639999999999999,9.0,1
41,198,9,7.0,0.0,0.26,0.26,6.0,1
42,199,9,8.0,0.264,0.624,0.36,7.0,1
43,212,10,5.0,0.0,0.012,0.012,8.0,1
44,213,10,4.0,0.016,0.028,0.012,5.0,1
45,214,10,10.0,0.032,0.036,0.004,10.0,1
46,215,10,4.0,0.04,0.044,0.0039999999999999,5.0,1
47,217,10,4.0,0.052,0.6880000000000001,0.636,5.0,1
48,232,11,5.0,0.0,0.228,0.228,8.0,1
49,233,11,4.0,0.232,0.236,0.004,4.0,1
50,234,11,10.0,0.24,0.244,0.004,10.0,1
51,235,11,7.0,0.248,0.428,0.18,5.0,1
52,236,11,8.0,0.432,0.708,0.2759999999999999,7.0,1
53,259,12,5.0,0.0,0.236,0.236,7.0,1
54,260,12,10.0,0.24,0.244,0.004,10.0,1
55,261,12,8.0,0.248,0.488,0.24,8.0,1
56,263,12,7.0,0.496,0.8240000000000001,0.328,5.0,1
57,276,13,5.0,0.0,0.22,0.22,9.0,1
58,277,13,10.0,0.224,0.228,0.004,10.0,1
59,279,13,3.0,0.236,0.244,0.0079999999999999,3.0,1
60,281,13,3.0,0.252,0.464,0.212,3.0,1
61,283,13,6.0,0.472,0.48,0.0079999999999999,2.0,1
62,284,13,10.0,0.484,0.488,0.004,10.0,1
63,285,13,9.0,0.492,0.6880000000000001,0.196,1.0,1
64,286,13,8.0,0.6920000000000001,0.704,0.0119999999999999,8.0,1
65,288,13,7.0,0.712,1.128,0.4160000000000001,5.0,1
66,308,14,5.0,0.0,0.412,0.412,7.0,1
67,340,15,5.0,0.0,0.224,0.224,8.0,1
68,341,15,10.0,0.228,0.232,0.004,10.0,1
69,342,15,8.0,0.236,0.996,0.76,9.0,1
70,355,16,5.0,0.0,0.752,0.752,9.0,1
71,372,17,5.0,0.0,0.216,0.216,8.0,1
72,373,17,10.0,0.22,0.228,0.008,10.0,1
73,374,17,8.0,0.232,0.364,0.1319999999999999,9.0,1
74,376,17,6.0,0.372,0.38,0.008,2.0,1
75,378,17,3.0,0.388,0.956,0.5680000000000001,3.0,1
76,400,18,5.0,0.0,0.232,0.232,8.0,1
77,402,18,6.0,0.24,0.392,0.152,1.0,1
78,403,18,10.0,0.396,0.4,0.004,10.0,1
79,404,18,3.0,0.404,0.58,0.1759999999999999,3.0,1
80,405,18,2.0,0.584,0.968,0.384,7.0,1
81,425,19,5.0,0.0,0.252,0.252,7.0,1
82,426,19,6.0,0.256,0.56,0.304,3.0,1
83,428,19,5.0,0.5680000000000001,1.076,0.508,7.0,1
84,451,20,1.0,0.0,0.096,0.096,5.0,1
85,452,20,10.0,0.1,0.192,0.092,10.0,1
86,453,20,2.0,0.196,0.664,0.468,9.0,1
87,477,21,5.0,0.0,0.1,0.1,7.0,1
88,478,21,6.0,0.104,0.304,0.1999999999999999,2.0,1
89,479,21,5.0,0.308,0.5760000000000001,0.268,7.0,1
90,480,21,6.0,0.58,0.776,0.196,2.0,1
91,481,21,10.0,0.78,0.784,0.004,10.0,1
92,482,21,10.0,0.9,0.92,0.02,10.0,1
93,483,21,5.0,0.924,0.936,0.012,7.0,1
94,484,21,4.0,0.94,0.96,0.0199999999999999,5.0,1
95,486,21,5.0,0.968,1.616,0.6480000000000001,7.0,1
96,503,22,8.0,0.0,0.376,0.376,8.0,1
97,505,22,7.0,0.384,0.608,0.2239999999999999,4.0,1
98,507,22,10.0,0.616,0.62,0.004,10.0,1
99,508,22,10.0,0.796,0.8160000000000001,0.02,10.0,1
100,509,22,8.0,0.8200000000000001,0.864,0.0439999999999999,8.0,1
101,510,22,7.0,0.868,0.88,0.012,4.0,1
102,512,22,8.0,0.888,1.032,0.144,8.0,1
103,524,23,8.0,0.0,0.316,0.316,8.0,1
104,525,23,9.0,0.32,0.68,0.36,2.0,1
105,526,23,8.0,0.684,0.932,0.248,8.0,1
106,539,24,7.0,0.0,0.016,0.016,4.0,1
107,541,24,8.0,0.024,0.424,0.3999999999999999,8.0,1
108,542,24,9.0,0.428,0.436,0.008,3.0,1
109,543,24,10.0,0.548,0.552,0.004,10.0,1
110,544,24,9.0,0.556,0.56,0.004,3.0,1
111,545,24,8.0,0.5640000000000001,0.588,0.0239999999999999,8.0,1
112,547,24,7.0,0.596,0.652,0.056,4.0,1
113,548,24,8.0,0.656,0.72,0.0639999999999999,8.0,1
114,549,24,10.0,0.724,0.788,0.064,10.0,1
115,568,25,1.0,0.0,0.056,0.056,5.0,1
116,569,25,2.0,0.06,0.26,0.2,7.0,1
117,571,25,10.0,0.268,0.272,0.004,10.0,1
118,572,25,6.0,0.42,0.428,0.008,1.0,1
119,573,25,10.0,0.432,0.492,0.06,10.0,1
