,Subj,Age,Mean_RT,Mean_Feature1,Mean_Feature2,Mean_Feature3,Mean_Feature4,Mean_Feature5,Mean_Feature6,Mean_Feature7,Mean_Feature8,Mean_Feature9,Mean_Feature10,Mean_Animals,Mean_Landscapes,Mean_Objects,Mean_DimensionEntropy,Mean_FeatureEntropy,Mean_LookingTime,Mean_Correct,LearnedFeat,MeanFeatureEntropy,MeanDimensionEntropy
0,23,15.119999999999912,0.7082184999999995,0.029356741294568514,0.06309971519567403,0.017530961522508468,0.08156265769690955,0.09425783991871864,0.062075128054833756,0.1766936381577436,0.15609763909835958,0.17927717969336757,0.13254849936731627,0.10998741801275098,0.23789562567046182,0.5120684569494707,0.33552608867733463,0.25071264987043373,0.8274200000000004,0.7,True,0.9118617055884305,0.8439895508090351
1,26,23.31999999999987,0.7439511750000003,0.02726746962518357,0.04275938514040677,0.025830154976715432,0.16216526971028672,0.1993687789390438,0.16147955191464006,0.06272090455159086,0.08995220111516442,0.15728476035223232,0.06617152367473596,0.09585700974230575,0.5230136005639706,0.30995786601898756,0.3360407141984629,0.24994799338276535,0.9220899999999992,0.65,True,0.9070087076762179,0.8410713204124579
2,27,14.579999999999943,0.8163137658750004,0.04742500169124774,0.05919856772361745,0.06622213586983118,0.04541934049689387,0.07451722248327122,0.07466149030384787,0.19857149917257758,0.10044216645205863,0.16670299852528053,0.15933957728137396,0.17284570528469648,0.19459805328401292,0.46571666414991625,0.3297373484676025,0.24041788882217738,1.4873399999999999,0.6275,False,0.9383528009899101,0.9021344008525328
3,28,14.0,0.787443801899999,0.11161642105117413,0.14339271669546558,0.11941970503196149,0.08900353009303455,0.06332116397890183,0.03696642621923586,0.08503730717819509,0.08128988639563159,0.14349422035565051,0.1264586230007492,0.37442884277860145,0.1892911202911723,0.30982141392947715,0.31707805421930013,0.2447330461661759,1.1572199999999988,0.6925,True,0.9706600497061069,0.9668025040856884
4,29,16.72999999999984,0.6431957750000001,0.06325774957452744,0.11570495142717871,0.09176226593900594,0.04215686643571757,0.06781079375323885,0.04346906674020387,0.12643149811154542,0.14947457662486818,0.22066419536075477,0.07176803603295913,0.2707249669407122,0.15343672692916033,0.4965702700971687,0.21299804561555216,0.1694624245253903,1.3116699999999997,0.535,False,0.9384765173871327,0.9025259041698234
5,30,17.47999999999983,0.740507878225,0.09344073407278851,0.08520939141938509,0.08323199709603869,0.12432829513803925,0.14991318399245251,0.15930199363768374,0.02820499314100538,0.032969091156555864,0.04111445584819325,0.10228586449785768,0.2618821225882126,0.4335434727681754,0.10228854014575449,0.2566818703147073,0.2029222879526095,0.9406599999999996,0.55,False,0.9348974102436466,0.8742243237728318
6,31,17.640000000000114,0.6046538750000003,0.14936406377280884,0.13716178674870258,0.14408795693868057,0.1188106465315026,0.08553856656977747,0.11928829330715147,0.04700813894931375,0.033687326686357905,0.03098186509188099,0.11157135540382374,0.4306138074601922,0.32363750640843153,0.11167733072755262,0.3024626655650021,0.22964696029230913,0.94438,0.6425,True,0.9426948172274112,0.8914732263943851
7,34,23.159999999999897,0.7555331500000004,0.192397931773332,0.14544495656131576,0.14578127648103698,0.07305395585040889,0.05436498659506969,0.05569317121893118,0.07193099340651248,0.06251275928052161,0.06174898278331658,0.1370709860495547,0.48362416481568454,0.18311211366440958,0.1961927354703506,0.3063522313244438,0.2391712716906994,0.970680000000001,0.5025,False,0.9471870654532912,0.9013526134556243
8,35,24.069999999999865,0.8437842768999991,0.012715000116101539,0.01589639064217848,0.011346764450894999,0.16545337823728537,0.11183510765518716,0.15657829356746203,0.1428052374797094,0.1664699191885892,0.1345563702390575,0.0823435384235341,0.03995815520917503,0.4338667794599347,0.4438315269073561,0.42101710454160574,0.3383209581111839,1.3300499999999997,0.66,False,0.8791310293493907,0.7663763485410457
9,36,16.72999999999984,0.7753096350000008,0.04851296236566358,0.07704697262586274,0.04355020387623018,0.226000676337819,0.19348139097305642,0.201471171286349,0.04390924791336157,0.06915107097082233,0.028458060193535598,0.06341824345729946,0.16911013886775664,0.6209532385972243,0.14151837907771955,0.36374823146857305,0.25849415373916307,1.3331,0.6725,True,0.8865721261248632,0.7886282938200083
10,37,20.19999999999987,0.5357359750000006,0.14703301123806597,0.1857311562718392,0.1477815182687817,0.07131554969260648,0.16379986180212028,0.1132664695010292,0.03422376859391145,0.013945011361545093,0.052526722719686635,0.07037693055041387,0.48054568577868656,0.348381880995756,0.1006955026751432,0.2240428771930173,0.19543136163513045,0.8427299999999995,0.625,False,0.9157303311060954,0.864426658117693
11,38,25.65999999999989,0.7975000499999995,0.053361439499919026,0.0916463557446781,0.09469198634851268,0.17336473707763736,0.10695779781701126,0.13255294966741388,0.10292552384598064,0.08188327035921024,0.08728071148024455,0.0703352281593924,0.23969978159310973,0.4128754845620623,0.2720895056854353,0.24547522613264267,0.20227153071555165,1.6386699999999985,0.7025,True,0.9788388672858529,0.9739131430226272
12,39,14.329999999999945,0.7182146359999995,0.03619757920317232,0.020611929599511955,0.023293195565854873,0.05436749991701115,0.08545998975352774,0.04934819131914431,0.10430362919104462,0.13056150967174168,0.12376421503463941,0.11459226074435191,0.08010270436853913,0.18917568098968318,0.3586293538974256,0.2567881422771566,0.19590693941288492,0.7603100000000002,0.67,False,0.9224725259442831,0.8592951718238269
13,40,12.98999999999987,0.8389292785249991,0.13229315310266965,0.1124763957851885,0.1011553723312594,0.048804924974024416,0.06260652626410311,0.05523874152815959,0.056328568019951536,0.037989083778517216,0.042236959348626105,0.14587027486750026,0.34592492121911755,0.16665019276628715,0.13655461114709488,0.24083790771272615,0.17263769993283387,0.8557299999999993,0.5325,False,0.9572985710377389,0.9215629724595947
14,41,19.4099999999999,0.6190164250000002,0.03022137659040357,0.04338800300798277,0.04264712744501303,0.05821624240137467,0.051889202742313525,0.08880810166522365,0.2579220638250221,0.16310794466398157,0.17732006442622672,0.08397987323245834,0.11625650704339938,0.19891354680891188,0.5983500729152303,0.31783932231640055,0.2498661414821581,0.8700899999999998,0.4925,False,0.8867543822478986,0.7932147541315568
15,42,20.359999999999857,0.6846998499999998,0.07766050956766238,0.07498948205101601,0.0888749879710007,0.1957928964733141,0.1871918617758216,0.24044801443461744,0.03096588561956439,0.012682747679461502,0.017526038251412267,0.07386757617612953,0.24152497958967906,0.6234327726837533,0.06117467155043817,0.32225101217848573,0.2596753635458821,1.1774100000000005,0.6375,False,0.8581530661399642,0.724931507862105
16,43,19.960000000000033,0.6131814749999998,0.1438596644017263,0.1551887302631222,0.18885959194177485,0.07867577736672718,0.09010596123500315,0.09470783065190169,0.07838344482736899,0.05947405058708474,0.054408318314345124,0.0538366304109458,0.48790798660662366,0.2634895692536321,0.19226581372879883,0.2670307285159746,0.22517147138887647,1.0897099999999993,0.6775,True,0.961716685188231,0.9297273828946985
