Trial,Block,Subj,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime
1,1,23,0.0,0.1440000000000001,0.0,0.0,0.3640000000000003,0.0,1.0,0.0,0.0,0.032,1.5400000000000005
1,1,26,0.0,0.0,0.1960000000000001,0.0,0.0,0.2279999999999997,0.47199999999999986,0.0,0.0,0.4120000000000003,1.3079999999999998
1,1,27,0.0,0.0,0.7159999999999995,0.0,0.004,0.0,0.0,0.0,1.032000000000001,0.152,1.9040000000000004
1,1,28,0.2399999999999997,0.0,0.0,0.0,0.1960000000000001,0.0,0.0,0.0,0.6280000000000001,0.5400000000000005,1.6040000000000005
1,1,29,0.0,0.0,0.08,0.0,0.1520000000000005,0.0,0.0,0.0,0.6480000000000001,0.0999999999999995,0.9800000000000001
1,1,30,0.0,0.0,0.4560000000000008,0.1439999999999996,0.0,0.0,0.0,0.0,0.0,0.004,0.6040000000000004
1,1,31,0.0,0.37999999999999984,0.0,0.0,0.9320000000000004,0.0,0.0,0.0,0.0,0.124,1.4360000000000004
1,1,34,0.0,0.7559999999999998,0.0,0.008,0.0,0.0,0.3200000000000003,0.0,0.2760000000000002,0.2800000000000002,1.6400000000000006
1,1,35,0.004,0.3760000000000002,0.0,0.0,0.6959999999999997,0.2680000000000002,0.0,0.19599999999999973,0.008,0.02,1.568
1,1,36,0.0,0.1640000000000005,0.0,0.0,0.0,0.672,0.0,0.024,0.0,0.2639999999999996,1.124
1,1,37,0.0,0.1440000000000001,0.008,0.0,0.22799999999999973,0.6000000000000001,0.0,0.1560000000000001,0.0,0.1679999999999996,1.3039999999999998
1,1,38,0.4199999999999999,0.0,0.0,0.0,0.0920000000000005,0.9560000000000004,0.0,0.0,0.2479999999999997,0.2639999999999998,1.9800000000000004
1,1,39,0.0,0.3720000000000003,0.0,0.0,0.2239999999999997,0.0,0.0,0.0,0.7280000000000002,0.0,1.3240000000000003
1,1,40,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.008
1,1,41,0.1560000000000001,0.0,0.0,0.0,0.7360000000000002,0.7080000000000002,0.0,0.3719999999999999,0.0,0.016,1.9880000000000004
1,1,42,0.0,0.2559999999999998,0.0,0.0,0.3040000000000002,0.5240000000000005,0.3199999999999998,0.0,0.0,0.1559999999999997,1.56
1,1,43,0.0,0.0,0.008,0.0,1.1560000000000006,0.0,0.0,0.2799999999999998,0.0,0.0,1.4440000000000004
1,1,44,0.0,0.0,0.0,0.0,0.4439999999999999,0.0,0.2879999999999998,0.0,0.0,0.6280000000000006,1.3600000000000003
1,1,45,0.0,0.4040000000000003,0.0,0.0,0.016,0.044,0.0,0.2680000000000006,0.516,0.2919999999999997,1.5400000000000005
1,1,46,0.0,0.028,0.0,0.3039999999999998,0.0,0.0,0.7560000000000002,0.1920000000000001,0.0,0.008,1.2880000000000003
1,1,47,0.1879999999999997,0.0,0.0,0.0,0.45199999999999985,0.012,0.2600000000000002,0.5360000000000005,0.0,0.2279999999999997,1.6760000000000002
1,1,49,0.0,0.504,0.04,0.0,0.4079999999999999,0.7320000000000002,0.0,0.0,0.0,0.008,1.6920000000000002
1,1,53,0.516,0.0,0.0,0.0,0.4479999999999999,0.0,0.0,0.0,0.9640000000000004,0.036,1.9640000000000004
1,1,54,0.21200000000000008,0.0,0.0,0.0,0.532,0.32399999999999984,0.0,0.2080000000000001,0.008,0.2999999999999996,1.5839999999999999
1,1,55,0.024,0.0,0.0,0.0960000000000005,0.2119999999999997,0.0,0.02,0.004,0.0,0.044,0.4000000000000002
1,1,57,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.9160000000000004,0.0,0.016,0.9400000000000004
1,1,60,0.0,0.0,0.064,0.008,0.0,0.3880000000000003,0.0,0.0,0.4840000000000004,0.5399999999999998,1.4840000000000004
1,1,61,0.3240000000000003,0.8999999999999995,0.0,0.22000000000000008,0.0,0.008,0.0,0.1560000000000001,0.0,0.2160000000000001,1.8240000000000003
1,1,62,0.0,0.1840000000000001,0.0,0.0,0.0,0.7600000000000002,0.0,0.0,0.496,0.0,1.4400000000000004
1,1,63,0.3800000000000003,0.0,0.6559999999999997,0.3919999999999999,0.0,0.0,0.41200000000000025,0.0,0.0,0.096,1.9360000000000004
1,1,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,68,0.0,0.0,0.0,0.7890000000000001,1.093,0.0,0.0,0.0,0.0,0.0440000000000007,1.9260000000000008
1,1,69,0.2880000000000002,0.0,0.0,0.0,0.5680000000000001,0.0,0.8919999999999999,0.012,0.0,0.1960000000000001,1.9560000000000004
1,1,70,0.052000000000000005,0.0,0.008,0.0,0.0,0.4039999999999998,0.0720000000000005,0.0,0.2160000000000002,0.3399999999999997,1.0920000000000003
