,Unnamed: 0,Trial,AoI,Onset,Offset,Duration,Feature,Block
0,0,1,5.0,0.0,0.036,0.036,3.0,1
1,2,1,4.0,0.044,0.336,0.292,9.0,1
2,3,1,10.0,0.34,0.472,0.132,10.0,1
3,4,1,2.0,0.476,0.536,0.06,1.0,1
4,5,1,3.0,0.54,0.768,0.2279999999999999,5.0,1
5,6,1,10.0,0.772,0.776,0.004,10.0,1
6,7,1,6.0,0.78,0.932,0.152,6.0,1
7,8,1,5.0,0.936,1.144,0.208,3.0,1
8,9,1,10.0,1.148,1.152,0.004,10.0,1
9,10,1,8.0,1.156,1.616,0.4600000000000002,2.0,1
10,37,2,4.0,0.0,0.048,0.048,7.0,1
11,39,2,4.0,0.056,0.084,0.028,7.0,1
12,40,2,10.0,0.088,0.096,0.008,10.0,1
13,42,2,10.0,0.104,0.108,0.0039999999999999,10.0,1
14,43,2,4.0,0.112,0.116,0.004,7.0,1
15,47,2,4.0,0.132,0.14,0.008,7.0,1
16,48,2,10.0,0.144,0.148,0.0039999999999999,10.0,1
17,49,2,4.0,0.152,0.236,0.084,7.0,1
18,50,2,10.0,0.24,0.26,0.02,10.0,1
19,52,2,10.0,0.268,0.272,0.004,10.0,1
20,53,2,5.0,0.276,0.32,0.0439999999999999,2.0,1
21,54,2,10.0,0.324,0.332,0.008,10.0,1
22,55,2,8.0,0.336,0.48,0.1439999999999999,1.0,1
23,56,2,10.0,0.484,0.496,0.012,10.0,1
24,57,2,5.0,0.5,1.328,0.8280000000000001,2.0,1
25,78,3,10.0,0.0,0.42,0.42,10.0,1
26,80,3,10.0,0.428,0.432,0.004,10.0,1
27,81,3,7.0,0.436,1.112,0.6760000000000002,7.0,1
28,102,4,4.0,0.0,0.288,0.288,8.0,1
29,103,4,5.0,0.292,0.3,0.008,3.0,1
30,104,4,10.0,0.304,0.348,0.044,10.0,1
31,105,4,2.0,0.352,0.72,0.368,2.0,1
32,106,4,1.0,0.724,1.04,0.316,7.0,1
33,107,4,2.0,1.044,1.388,0.3440000000000001,2.0,1
34,123,5,5.0,0.0,0.252,0.252,2.0,1
35,124,5,10.0,0.256,0.264,0.008,10.0,1
36,125,5,3.0,0.268,0.508,0.24,6.0,1
37,126,5,10.0,0.512,0.516,0.004,10.0,1
38,127,5,6.0,0.52,0.972,0.4519999999999999,4.0,1
39,128,5,5.0,0.976,1.68,0.704,2.0,1
40,137,6,7.0,0.0,0.104,0.104,8.0,1
41,138,6,10.0,0.108,0.12,0.0119999999999999,10.0,1
42,139,6,5.0,0.124,0.376,0.252,2.0,1
43,140,6,10.0,0.38,0.384,0.004,10.0,1
44,141,6,2.0,0.388,0.396,0.008,3.0,1
45,142,6,10.0,0.4,0.42,0.0199999999999999,10.0,1
46,143,6,2.0,0.424,0.888,0.464,3.0,1
47,161,7,4.0,0.0,0.092,0.092,7.0,1
48,162,7,5.0,0.096,0.28,0.184,3.0,1
49,163,7,10.0,0.284,0.448,0.1639999999999999,10.0,1
50,164,7,6.0,0.452,0.872,0.42,5.0,1
51,166,7,5.0,0.88,0.912,0.032,3.0,1
52,167,7,10.0,0.916,0.952,0.036,10.0,1
53,168,7,5.0,0.956,1.488,0.5319999999999999,3.0,1
54,184,8,5.0,0.0,0.28,0.28,1.0,1
55,185,8,4.0,0.284,0.312,0.0279999999999999,9.0,1
56,186,8,10.0,0.316,0.32,0.004,10.0,1
57,187,8,5.0,0.324,0.408,0.084,1.0,1
58,188,8,10.0,0.412,0.416,0.004,10.0,1
59,189,8,7.0,0.42,0.684,0.264,7.0,1
60,202,9,4.0,0.0,0.36,0.36,7.0,1
61,203,9,10.0,0.364,0.376,0.012,10.0,1
62,204,9,5.0,0.38,0.8240000000000001,0.444,1.0,1
63,236,10,10.0,0.0,0.432,0.432,10.0,1
64,237,10,6.0,0.436,0.448,0.012,6.0,1
65,238,10,10.0,0.452,0.456,0.004,10.0,1
66,239,10,3.0,0.46,0.936,0.476,5.0,1
67,256,11,5.0,0.0,0.304,0.304,3.0,1
68,257,11,10.0,0.308,0.312,0.004,10.0,1
69,258,11,8.0,0.316,0.908,0.5920000000000001,2.0,1
70,268,12,10.0,0.0,0.292,0.292,10.0,1
71,269,12,5.0,0.296,0.756,0.46,2.0,1
72,306,13,10.0,0.0,0.372,0.372,10.0,1
73,307,13,5.0,0.376,0.384,0.008,3.0,1
74,308,13,10.0,0.388,0.392,0.004,10.0,1
75,309,13,8.0,0.396,1.22,0.824,2.0,1
76,326,14,6.0,0.0,0.012,0.012,4.0,1
77,327,14,5.0,0.016,0.328,0.312,2.0,1
78,328,14,10.0,0.332,0.336,0.004,10.0,1
79,329,14,2.0,0.34,0.516,0.176,3.0,1
80,330,14,10.0,0.52,0.524,0.004,10.0,1
81,331,14,5.0,0.528,2.468,1.94,2.0,1
82,339,15,4.0,0.0,0.016,0.016,7.0,1
83,341,15,5.0,0.024,0.028,0.004,1.0,1
84,342,15,10.0,0.032,0.04,0.008,10.0,1
85,343,15,5.0,0.044,0.052,0.008,1.0,1
86,344,15,10.0,0.056,0.22,0.164,10.0,1
87,345,15,5.0,0.224,0.26,0.036,1.0,1
88,346,15,10.0,0.264,0.304,0.0399999999999999,10.0,1
89,347,15,2.0,0.308,1.336,1.028,2.0,1
90,362,16,5.0,0.0,0.264,0.264,1.0,1
91,363,16,10.0,0.268,0.272,0.004,10.0,1
92,364,16,2.0,0.276,0.552,0.276,2.0,1
93,365,16,10.0,0.556,0.588,0.0319999999999999,10.0,1
94,366,16,3.0,0.592,0.896,0.304,4.0,1
95,377,17,5.0,0.0,0.296,0.296,3.0,1
96,378,17,10.0,0.3,0.304,0.004,10.0,1
97,379,17,2.0,0.308,0.404,0.096,1.0,1
98,380,17,10.0,0.408,0.42,0.0119999999999999,10.0,1
99,384,17,5.0,0.436,0.44,0.004,3.0,1
100,386,17,8.0,0.448,2.824,2.376,2.0,1
101,392,18,10.0,0.0,0.28,0.28,10.0,1
102,393,18,5.0,0.284,0.436,0.1519999999999999,1.0,1
103,394,18,10.0,0.44,0.444,0.004,10.0,1
104,395,18,2.0,0.448,1.148,0.7000000000000002,2.0,1
105,407,19,5.0,0.0,4.008,4.008,2.0,1
106,408,20,5.0,0.0,0.308,0.308,3.0,1
107,409,20,10.0,0.312,0.316,0.004,10.0,1
108,410,20,2.0,0.32,2.388,2.068,2.0,1
109,417,21,10.0,0.0,0.2,0.2,10.0,1
110,418,21,5.0,0.204,1.168,0.964,2.0,1
111,419,21,10.0,1.172,1.456,0.284,10.0,1
112,420,21,5.0,1.46,1.616,0.1560000000000001,2.0,1
113,421,21,10.0,1.62,1.624,0.004,10.0,1
114,422,21,2.0,1.628,1.824,0.1959999999999999,1.0,1
115,439,22,2.0,0.0,0.18,0.18,1.0,1
116,440,22,10.0,0.184,0.188,0.004,10.0,1
117,441,22,5.0,0.192,0.652,0.46,3.0,1
118,443,22,4.0,0.66,0.68,0.02,8.0,1
119,444,22,10.0,0.684,0.764,0.0799999999999999,10.0,1
120,445,22,4.0,0.768,0.804,0.036,8.0,1
121,446,22,10.0,0.808,0.864,0.0559999999999999,10.0,1
122,447,22,4.0,0.868,1.196,0.3279999999999999,8.0,1
123,448,22,10.0,1.2,1.208,0.008,10.0,1
124,449,22,2.0,1.212,1.492,0.28,1.0,1
125,465,23,6.0,0.0,0.108,0.108,5.0,1
126,466,23,5.0,0.112,0.352,0.24,3.0,1
127,467,23,10.0,0.356,0.368,0.012,10.0,1
128,468,23,10.0,0.552,0.5760000000000001,0.024,10.0,1
129,469,23,6.0,0.58,0.604,0.024,5.0,1
130,470,23,5.0,0.608,0.664,0.056,3.0,1
131,472,23,4.0,0.672,1.264,0.592,7.0,1
132,481,24,7.0,0.0,0.156,0.156,7.0,1
133,482,24,10.0,0.16,0.168,0.008,10.0,1
134,483,24,4.0,0.172,0.364,0.1919999999999999,9.0,1
135,484,24,10.0,0.368,1.22,0.852,10.0,1
136,493,25,10.0,0.164,0.228,0.064,10.0,1
137,494,25,5.0,0.232,0.24,0.0079999999999999,3.0,1
138,495,25,4.0,0.244,1.232,0.988,7.0,1
139,516,26,4.0,0.0,0.344,0.344,8.0,1
140,517,26,10.0,0.348,0.368,0.0199999999999999,10.0,1
141,518,26,5.0,0.372,1.356,0.984,1.0,1
142,543,27,2.0,0.0,0.212,0.212,2.0,1
143,544,27,10.0,0.216,0.22,0.004,10.0,1
144,545,27,5.0,0.224,0.232,0.008,3.0,1
145,547,27,4.0,0.24,1.192,0.952,8.0,1
146,561,28,8.0,0.0,0.044,0.044,3.0,1
147,562,28,9.0,0.048,0.052,0.004,4.0,1
148,564,28,10.0,0.252,0.284,0.032,10.0,1
149,567,28,2.0,0.296,0.308,0.012,2.0,1
150,568,28,1.0,0.312,0.336,0.024,8.0,1
151,569,28,10.0,0.34,0.344,0.004,10.0,1
152,570,28,4.0,0.348,1.212,0.8639999999999999,9.0,1
153,582,29,6.0,0.0,0.184,0.184,6.0,1
154,583,29,10.0,0.188,0.196,0.008,10.0,1
155,584,29,10.0,0.4,0.5720000000000001,0.172,10.0,1
156,585,29,8.0,0.5760000000000001,0.584,0.0079999999999998,2.0,1
157,586,29,10.0,0.588,0.592,0.004,10.0,1
158,587,29,5.0,0.596,0.6,0.004,1.0,1
159,588,29,4.0,0.604,1.208,0.604,7.0,1
160,610,30,10.0,0.0,0.048,0.048,10.0,1
161,611,30,7.0,0.052,0.06,0.0079999999999999,8.0,1
162,613,30,5.0,0.068,0.216,0.148,1.0,1
163,614,30,6.0,0.22,0.224,0.004,4.0,1
164,615,30,10.0,0.228,0.232,0.004,10.0,1
165,616,30,10.0,0.428,0.872,0.444,10.0,1
166,617,30,4.0,0.876,1.18,0.3039999999999999,9.0,1
167,619,30,7.0,1.188,2.532,1.344,8.0,1
168,622,31,10.0,0.0,0.024,0.024,10.0,1
169,623,31,7.0,0.028,0.144,0.116,7.0,1
170,624,31,10.0,0.148,0.156,0.008,10.0,1
171,625,31,7.0,0.16,0.176,0.0159999999999999,7.0,1
172,626,31,10.0,0.18,0.44,0.26,10.0,1
173,627,31,4.0,0.444,1.308,0.8640000000000001,8.0,1
174,634,32,4.0,0.0,0.796,0.796,7.0,1
175,650,33,10.0,0.124,0.428,0.304,10.0,1
