Unnamed: 0,Trial,AoI,Onset,Offset,Duration,Feature,Block
12,1,5.0,2.516,2.52,0.004,2.0,1
13,1,10.0,2.524,2.588,0.064,10.0,1
14,1,5.0,2.592,2.652,0.06,2.0,1
15,1,10.0,2.656,2.68,0.024,10.0,1
16,1,5.0,2.684,2.692,0.008,2.0,1
18,1,4.0,2.7,3.064,0.3639999999999999,5.0,1
19,1,10.0,3.068,3.072,0.004,10.0,1
20,1,4.0,3.076,3.088,0.012,5.0,1
21,1,5.0,3.092,3.384,0.2919999999999998,2.0,1
22,1,10.0,3.388,3.396,0.008,10.0,1
23,1,5.0,3.4,3.408,0.008,2.0,1
24,1,10.0,3.412,3.416,0.004,10.0,1
25,1,5.0,3.42,3.428,0.008,2.0,1
26,1,10.0,3.432,3.452,0.02,10.0,1
27,1,4.0,3.456,4.0120000000000005,0.5560000000000005,5.0,1
34,2,10.0,2.46,2.632,0.1720000000000001,10.0,1
35,2,8.0,2.636,2.7960000000000003,0.1600000000000001,1.0,1
36,2,9.0,2.8000000000000003,3.064,0.2639999999999998,7.0,1
37,2,8.0,3.068,3.084,0.016,1.0,1
38,2,10.0,3.088,3.14,0.052,10.0,1
39,2,7.0,3.144,3.264,0.1200000000000001,5.0,1
40,2,8.0,3.268,3.272,0.004,1.0,1
42,2,9.0,3.28,3.2840000000000003,0.004,7.0,1
43,2,10.0,3.2880000000000003,3.3040000000000003,0.016,10.0,1
44,2,10.0,3.48,3.832,0.3520000000000003,10.0,1
45,2,7.0,3.836,3.856,0.0199999999999995,5.0,1
46,2,10.0,3.86,3.864,0.004,10.0,1
47,2,4.0,3.868,3.94,0.072,4.0,1
48,2,10.0,3.944,4.008,0.064,10.0,1
58,3,10.0,2.308,2.32,0.012,10.0,1
59,3,9.0,2.324,2.54,0.2160000000000002,7.0,1
60,3,8.0,2.544,2.568,0.024,2.0,1
61,3,7.0,2.572,3.216,0.6440000000000001,6.0,1
63,3,8.0,3.224,3.228,0.004,2.0,1
64,3,9.0,3.232,3.24,0.008,7.0,1
65,3,10.0,3.244,3.256,0.012,10.0,1
66,3,10.0,3.52,3.56,0.04,10.0,1
67,3,6.0,3.564,3.592,0.028,9.0,1
68,3,5.0,3.596,3.636,0.04,3.0,1
70,3,4.0,3.644,3.824,0.1800000000000001,5.0,1
71,3,10.0,3.828,3.832,0.004,10.0,1
72,3,1.0,3.836,4.0120000000000005,0.1760000000000001,4.0,1
86,4,8.0,2.312,2.916,0.6040000000000001,2.0,1
87,4,10.0,2.92,2.924,0.004,10.0,1
88,4,9.0,2.928,3.216,0.2880000000000002,7.0,1
89,4,10.0,3.22,3.236,0.016,10.0,1
90,4,10.0,3.412,3.748,0.3360000000000003,10.0,1
91,4,4.0,3.752,3.76,0.008,4.0,1
93,4,1.0,3.768,4.008,0.2399999999999997,6.0,1
100,5,5.0,2.34,2.352,0.012,3.0,1
101,5,6.0,2.356,2.48,0.1240000000000001,7.0,1
102,5,5.0,2.484,2.568,0.084,3.0,1
103,5,4.0,2.572,3.256,0.6840000000000002,5.0,1
104,5,5.0,3.26,3.268,0.008,3.0,1
105,5,6.0,3.272,3.28,0.008,7.0,1
106,5,10.0,3.2840000000000003,3.3000000000000003,0.016,10.0,1
107,5,10.0,3.568,3.608,0.04,10.0,1
108,5,6.0,3.612,3.644,0.032,7.0,1
109,5,5.0,3.648,3.7,0.052,3.0,1
110,5,4.0,3.704,3.864,0.1599999999999997,5.0,1
111,5,10.0,3.868,3.872,0.004,10.0,1
112,5,1.0,3.876,4.008,0.1320000000000001,4.0,1
116,6,6.0,2.576,2.588,0.012,9.0,1
117,6,10.0,2.592,2.6,0.008,10.0,1
118,6,10.0,2.716,2.76,0.044,10.0,1
119,6,6.0,2.764,2.8080000000000003,0.044,9.0,1
120,6,5.0,2.8120000000000003,3.748,0.936,2.0,1
122,6,2.0,3.756,3.968,0.2119999999999997,1.0,1
124,6,5.0,3.976,3.98,0.004,2.0,1
125,6,10.0,3.984,4.0120000000000005,0.0280000000000004,10.0,1
141,7,7.0,2.512,2.728,0.2160000000000002,5.0,1
142,7,8.0,2.732,3.232,0.5,1.0,1
143,7,9.0,3.236,3.248,0.012,7.0,1
144,7,10.0,3.252,3.272,0.02,10.0,1
145,7,10.0,3.712,3.796,0.084,10.0,1
146,7,3.0,3.8,3.9,0.0999999999999996,9.0,1
147,7,2.0,3.904,4.008,0.104,2.0,1
157,8,6.0,2.66,2.68,0.02,7.0,1
158,8,10.0,2.684,2.716,0.032,10.0,1
159,8,10.0,2.7920000000000003,2.876,0.0839999999999996,10.0,1
160,8,6.0,2.88,3.244,0.3640000000000003,7.0,1
161,8,10.0,3.248,3.268,0.02,10.0,1
162,8,10.0,3.54,3.768,0.2280000000000002,10.0,1
163,8,5.0,3.772,3.784,0.012,1.0,1
164,8,10.0,3.788,4.0120000000000005,0.2240000000000002,10.0,1
169,9,8.0,2.432,3.228,0.7960000000000003,2.0,1
170,9,9.0,3.232,3.24,0.008,7.0,1
171,9,10.0,3.244,3.26,0.016,10.0,1
172,9,10.0,3.48,3.708,0.2280000000000002,10.0,1
173,9,4.0,3.712,3.716,0.004,4.0,1
174,9,5.0,3.72,3.724,0.004,1.0,1
175,9,10.0,3.728,3.736,0.008,10.0,1
176,9,2.0,3.74,3.744,0.004,3.0,1
177,9,10.0,3.748,3.76,0.012,10.0,1
178,9,2.0,3.764,4.008,0.2439999999999997,3.0,1
188,10,8.0,2.488,2.512,0.024,2.0,1
189,10,7.0,2.516,2.876,0.3599999999999999,6.0,1
191,10,8.0,2.884,3.74,0.8560000000000003,2.0,1
192,10,10.0,3.744,3.748,0.004,10.0,1
193,10,5.0,3.752,4.008,0.2559999999999998,1.0,1
198,11,3.0,2.996,3.2920000000000003,0.2960000000000002,7.0,1
199,11,10.0,3.2960000000000003,3.3040000000000003,0.008,10.0,1
200,11,2.0,3.3080000000000003,3.364,0.0559999999999996,1.0,1
202,11,3.0,3.372,3.404,0.032,7.0,1
203,11,10.0,3.408,3.424,0.016,10.0,1
204,11,10.0,3.588,3.752,0.1640000000000001,10.0,1
205,11,4.0,3.756,3.764,0.008,6.0,1
207,11,4.0,3.772,3.788,0.016,6.0,1
208,11,10.0,3.792,3.8,0.008,10.0,1
209,11,4.0,3.804,3.832,0.028,6.0,1
210,11,10.0,3.836,3.864,0.0279999999999995,10.0,1
211,11,2.0,3.868,3.872,0.004,1.0,1
212,11,10.0,3.876,4.008,0.1320000000000001,10.0,1
226,12,10.0,2.108,2.148,0.04,10.0,1
227,12,9.0,2.152,2.18,0.028,7.0,1
228,12,10.0,2.184,2.2,0.016,10.0,1
229,12,9.0,2.204,2.348,0.1439999999999996,7.0,1
230,12,8.0,2.352,2.372,0.02,1.0,1
