Trial,Block,Subj,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime,FeatureEntropy,Animals,Landscapes,Objects,DimensionEntropy
1.0,1,23,0.059322033898305065,0.23940677966101692,0.0,0.0,0.15042372881355942,0.0,0.44703389830508483,0.007415254237288111,0.0,0.09639830508474578,3.7759999999999994,0.5420725100591313,0.298728813559322,0.15042372881355942,0.45444915254237295,0.9141418438694141
1.0,1,26,0.0,0.0,0.054871220604703265,0.0,0.058230683090705476,0.06382978723404246,0.6326987681970885,0.0,0.07278835386338185,0.11758118701007846,3.5720000000000005,0.44639167534658675,0.054871220604703265,0.12206047032474794,0.7054871220604704,0.6026890907775568
1.0,1,27,0.0,0.0,0.3488372093023254,0.0,0.007399577167019028,0.0,0.0,0.0,0.5813953488372094,0.06236786469344609,3.784,0.32722530513963266,0.3488372093023254,0.007399577167019028,0.5813953488372094,0.6544506102792653
1.0,1,28,0.37526205450733746,0.0,0.0,0.0,0.070230607966457,0.0,0.0,0.06918238993710693,0.27987421383647804,0.20545073375262066,3.816,0.4985922397414756,0.37526205450733746,0.070230607966457,0.34905660377358494,0.8389909659615291
1.0,1,29,0.05990220048899752,0.0,0.024449877750611245,0.0024449877750611247,0.04767726161369208,0.07090464547677258,0.48899755501222486,0.0,0.27506112469437655,0.030562347188263905,3.2720000000000002,0.5969682066638771,0.08435207823960876,0.12102689486552579,0.7640586797066014,0.6096564659909762
1.0,1,30,0.07926829268292683,0.0,0.5213414634146345,0.2774390243902437,0.0,0.0,0.0,0.0030487804878048786,0.0,0.11890243902439011,2.6239999999999997,0.41593178818632065,0.6006097560975613,0.2774390243902437,0.0030487804878048786,0.6185785508453795
1.0,1,31,0.0,0.30635245901639335,0.0,0.0,0.6608606557377049,0.0,0.0,0.0,0.0,0.03278688524590164,3.904,0.2895276988880691,0.30635245901639335,0.6608606557377049,0.0,0.5790553977761382
1.0,1,34,0.016666666666666663,0.3577777777777777,0.06777777777777777,0.006666666666666666,0.0633333333333333,0.04222222222222222,0.16555555555555568,0.0,0.1577777777777778,0.12222222222222225,3.6000000000000005,0.7051087318142647,0.4422222222222221,0.11222222222222218,0.3233333333333335,0.8841656484806324
1.0,1,35,0.0034168564920273353,0.2027334851936219,0.0,0.0,0.32574031890660593,0.08997722095671988,0.0,0.28815489749430523,0.08086560364464691,0.009111617312072894,3.5119999999999996,0.6767190001162917,0.20615034168564922,0.4157175398633258,0.36902050113895213,0.9633204187095887
1.0,1,36,0.0,0.5872817955112221,0.0,0.0,0.0,0.3216957605985038,0.0,0.007481296758104738,0.0,0.08354114713216942,3.208,0.32498067653618173,0.5872817955112221,0.3216957605985038,0.007481296758104738,0.6499613530723635
1.0,1,37,0.0,0.6035634743875279,0.0022271714922049,0.0,0.09465478841870817,0.1670378619153675,0.0,0.04565701559020048,0.0,0.08685968819599099,3.5919999999999996,0.44662635314541577,0.6057906458797327,0.2616926503340757,0.04565701559020048,0.7239868617988506
1.0,1,38,0.2016412661195779,0.0,0.0,0.0,0.07033997655334129,0.46893317702227444,0.0,0.0,0.09495896834701045,0.16412661195779585,3.4120000000000004,0.4952958618069182,0.2016412661195779,0.5392731535756157,0.09495896834701045,0.8005217227371797
1.0,1,39,0.0,0.16274309109518936,0.05629477993858749,0.0,0.0573183213920163,0.0,0.0,0.0,0.6223132036847493,0.10133060388945753,3.908,0.4171141741888641,0.21903787103377687,0.0573183213920163,0.6223132036847493,0.720602380874618
1.0,1,40,0.0,0.26689774696707097,0.10918544194107452,0.19757365684575384,0.17504332755632585,0.0,0.1507798960138648,0.0779896013864818,0.0,0.022530329289428077,2.3080000000000003,0.7755389939186716,0.3760831889081455,0.3726169844020797,0.22876949740034658,0.9767612805103302
1.0,1,41,0.039553752535496985,0.0,0.0,0.018255578093306288,0.308316430020284,0.17951318458417856,0.015212981744421906,0.29614604462474636,0.09837728194726167,0.04462474645030423,3.944,0.6936576519322613,0.039553752535496985,0.5060851926977689,0.40973630831642993,0.7627946234194528
1.0,1,42,0.0,0.06687565308254959,0.04493207941483803,0.0,0.32915360501567403,0.4326018808777431,0.08359456635318699,0.0,0.0,0.042842215256008204,3.828,0.5716401067046845,0.11180773249738762,0.7617554858934171,0.08359456635318699,0.6005095853249698
1.0,1,43,0.0,0.0,0.4994984954864593,0.0,0.43029087261785365,0.0,0.0,0.070210631895687,0.0,0.0,3.9880000000000004,0.40782642891020615,0.4994984954864593,0.43029087261785365,0.070210631895687,0.8156528578204123
1.0,1,44,0.0,0.0,0.0,0.0,0.6032225579053373,0.09969788519637458,0.13796576032225574,0.0,0.0,0.15911379657603236,3.9720000000000004,0.3677596350873616,0.0,0.7029204431017119,0.13796576032225574,0.47429218830995545
1.0,1,45,0.0,0.3284258210645527,0.0,0.0,0.15968289920724807,0.037372593431483574,0.0,0.08154020385050975,0.28878822197055487,0.10419026047565107,3.532000000000001,0.6119336827650566,0.3284258210645527,0.19705549263873165,0.3703284258210646,0.9590521381105216
1.0,1,46,0.0,0.461038961038961,0.0,0.0822510822510822,0.0,0.0,0.3376623376623377,0.11580086580086581,0.0,0.0032467532467532465,3.696,0.5364437956342761,0.461038961038961,0.0822510822510822,0.4534632034632035,0.8383746646112227
1.0,1,47,0.04761904761904754,0.0,0.0,0.0,0.11448834853090169,0.05268490374873351,0.518743667679838,0.20668693009118555,0.0,0.05977710233029375,3.948,0.5527460791711466,0.04761904761904754,0.1671732522796352,0.7254305977710236,0.6161045566665019
1.0,1,49,0.0,0.5480283114256825,0.010111223458038422,0.0,0.15166835187057628,0.2669362992922144,0.0,0.0,0.0,0.02325581395348834,3.9560000000000004,0.46179263474100735,0.5581395348837209,0.41860465116279066,0.0,0.6280739843597993
1.0,1,53,0.36303191489361697,0.0,0.0,0.0,0.24335106382978716,0.0,0.0,0.006648936170212765,0.3244680851063831,0.0625,3.0080000000000005,0.5053226388367514,0.36303191489361697,0.24335106382978716,0.33111702127659587,0.9810025448104229
1.0,1,54,0.06471306471306475,0.0,0.050061050061050064,0.0,0.264957264957265,0.09890109890109886,0.0036630036630036634,0.06349206349206353,0.007326007326007327,0.44688644688644674,3.276,0.5185701722954139,0.11477411477411481,0.3638583638583639,0.07448107448107452,0.7370772897374596
