,subj,iter,learning_rate_init,decay_rate_init,beta_value_choice_init,learning_rate,decay_rate,beta_value_choice,log_lik
0,23.0,1.0,0.6515751879013415,0.865512850598905,2.9963067465436817,0.15297234955204336,0.29316917457445413,9.460261238384794,-10.24652518768444
1,23.0,2.0,0.0689230452194618,0.40510505540186725,3.3380391391448656,0.0689230452194618,0.4051050554018671,3.338039139144867,-15.620917767714522
2,23.0,3.0,0.8199482468684808,0.20977924342123044,2.5881217511957084,0.1529727792113297,0.2931701201337446,9.460258408645764,-10.246536657663459
3,23.0,4.0,0.24874893512341878,0.6665585440657011,4.3829703161014315,0.24874893512341872,0.6665585440657011,4.382970316101433,-11.384744943656344
4,23.0,5.0,0.6281911109610384,0.5315350857859815,4.4696632306548905,0.1529729181602552,0.2931694608599803,9.460253380239838,-10.246549751635246
5,26.0,1.0,0.02452919475901727,0.6961986692147493,3.7663960208240312,0.02452919475901727,0.6961986692147489,3.7663960208240317,-18.859070126404966
6,26.0,2.0,0.6668080786573215,0.9284361325174465,3.995602427892547,0.17619876430511625,0.5197232327624347,8.501892927830148,-11.607553777449281
7,26.0,3.0,0.2532679607844436,0.7311037534554061,4.8180759508486055,0.2532679607844436,0.7311037534554059,4.818075950848607,-11.9891257223161
8,26.0,4.0,0.6501523897945094,0.9018774245756758,2.0707949599515993,0.17619890358660423,0.519723149633306,8.501876463635124,-11.607553967394887
9,26.0,5.0,0.48766936265007343,0.9407718950987695,2.4962075191907984,0.17619851460111968,0.5197232710019577,8.501893362142333,-11.607561814551634
10,27.0,1.0,0.025180983706851068,0.8887117365513185,3.44406577548949,0.025180983706851068,0.8887117365513186,3.4440657754894906,-18.825874029933736
11,27.0,2.0,0.6054285092322987,0.2970980029323782,3.2678009920859674,0.16742601441659907,0.34963317451063053,8.280453147701046,-10.891095486778848
12,27.0,3.0,0.8358022074874571,0.05682558588332054,3.234218661741384,0.3495225245097708,0.7657256694239553,4.7620674396924585,-12.444174259891263
13,27.0,4.0,0.8984606534837593,0.8897614916803278,2.893068554661315,0.2156233846742305,0.43054220997311515,7.186491987795796,-11.59053185764953
14,27.0,5.0,0.7452454184734449,0.37365797794359057,2.2703036952359494,0.16742626142516243,0.34963340923736597,8.280449705841486,-10.891102887688781
15,28.0,1.0,0.9254437848832697,0.38952110030749254,2.3970410276799337,0.2733196881099389,0.587187212192006,5.8138036217200915,-11.974716125792972
16,28.0,2.0,0.5248135362826962,0.13495908634774867,4.051298539946053,0.19806501669694682,0.4546023991170835,7.226116347169925,-11.293844762175826
17,28.0,3.0,0.4786579804800183,0.8191461985729488,4.077129552134786,0.1980641481230215,0.45460495650788424,7.226125593436234,-11.293842635028716
18,28.0,4.0,0.9229574618002356,0.3435456790895123,2.7994074238295936,0.20024868393850975,0.46310477004437633,7.091654448666906,-11.379450818422166
19,28.0,5.0,0.812913702475429,0.11498619823832679,4.687062783163654,0.20022686031968795,0.4568478217193002,7.165590555192648,-11.30867994121732
20,29.0,1.0,0.5453304635137147,0.7183209475096596,4.175881943010007,0.10574259162812016,0.39552324920713444,13.23644195150726,-11.877252266230613
21,29.0,2.0,0.2586627570967396,0.5819441376703807,4.254694822998049,0.12865165823731534,0.4272961048107775,11.936048125934605,-12.17966677912777
22,29.0,3.0,0.6611047122039676,0.028189012745840736,4.4801480938664895,0.10574199742972748,0.3955206642891257,13.236448427477779,-11.877237150775253
23,29.0,4.0,0.5113431306312253,0.13946710812758567,4.9951460369320895,0.105742694404196,0.39552316027873025,13.236458576127706,-11.877252425712243
24,29.0,5.0,0.12520140248157785,0.01920203781345131,4.326258335469845,0.10574298143861291,0.39552102596730687,13.236450356657267,-11.877259979352424
25,30.0,1.0,0.6694925769389434,0.6150879572191458,4.181321613536911,0.20023396941850669,0.44668566327528936,5.763141356128382,-13.951780975708932
26,30.0,2.0,0.3355184273542722,0.8451073356688608,2.330238328923805,0.3355184273542723,0.8451073356688605,2.330238328923805,-15.506922467473496
27,30.0,3.0,0.08322015406582428,0.1678075295492536,3.8888068523960073,0.20023442979513506,0.4466861359717493,5.763138561109129,-13.951778999934238
28,30.0,4.0,0.30610588416625106,0.061934923373642814,3.554287936368167,0.2002343019403315,0.44668777091970613,5.763141983529701,-13.951775007641249
29,30.0,5.0,0.755058214618459,0.5364295634256722,3.913562558145919,0.21955256773311818,0.5314027853683494,5.44181002065935,-14.024187801552642
30,31.0,1.0,0.6040590867787666,0.7555012986790354,3.8626288081531244,0.15504731429990243,0.29362932088180055,10.586924118118933,-10.218610156194313
31,31.0,2.0,0.007568728302730587,0.4918410609839615,2.9985291301276638,0.007568728302730587,0.4918410609839617,2.998529130127664,-20.90701547429863
32,31.0,3.0,0.7773912020813777,0.5228297914271522,2.3104799651154995,0.15504655358323033,0.29362867743778975,10.586943823106726,-10.21861331476035
33,31.0,4.0,0.29450200012984573,0.5382726379213915,2.035485678296189,0.29450200012984584,0.5382726379213915,2.0354856782961894,-14.667402073880364
34,31.0,5.0,0.44212908098010106,0.7451570277881905,3.82542203559619,0.15504674929305756,0.293628561664148,10.586932873697409,-10.218612270477614
35,34.0,1.0,0.49391480203731875,0.23431498877679613,2.1600254985417138,0.08664905452352491,0.30331000849307876,14.964004878069394,-10.99223785673281
36,34.0,2.0,0.9279756522443391,0.043095953943838805,4.419362792010969,0.09026963046368763,0.3341682436037481,14.812910358000362,-11.330611956123033
37,34.0,3.0,0.5610833616101626,0.059654385011187916,4.707249763071269,0.14807568657857248,0.6114525227487121,11.911096461402298,-11.03886344667169
38,34.0,4.0,0.7691084019137253,0.9698735735882148,4.315084758548544,0.16071358231363247,0.5151357711492048,11.74904323660432,-11.435695716998982
39,34.0,5.0,0.3505570235527614,0.9703655429862101,3.0909886775415787,0.08664606890370277,0.30330881151047034,14.964523883339444,-10.99220489884692
40,35.0,1.0,0.04699631065611898,0.37711476195339644,3.2430204051450007,0.04699631065611898,0.3771147619533963,3.243020405145002,-17.32154926911487
41,35.0,2.0,0.05296146217619013,0.8115789290912754,3.5292778171917263,0.05296146217619013,0.8115789290912756,3.5292778171917263,-17.01066628214833
42,35.0,3.0,0.11213581079390655,0.2208158434739701,3.736344459126584,0.11213581079390655,0.22081584347397015,3.7363444591265838,-13.883660002285689
43,35.0,4.0,0.05108901743152161,0.24880515473646336,2.554925128647044,0.05108901743152161,0.2488051547364635,2.554925128647043,-17.82414333168782
44,35.0,5.0,0.31274849448548014,0.6310265131370381,2.468760393204144,0.31274849448548014,0.6310265131370377,2.4687603932041435,-13.990658001279485
45,36.0,1.0,0.5544410180085863,0.3500987071392355,3.3708596653727065,0.2719142878789532,0.3397601106953594,5.837662200782744,-11.975612981917134
46,36.0,2.0,0.21765864729418283,0.22125100233711315,3.360041622144831,0.24988436437317949,0.2942375480512697,4.722138579772702,-12.732461588585043
47,36.0,3.0,0.8466219969333967,0.34600947178765395,3.571365173289255,0.3967207874194216,0.7811041748026402,4.3102732011643905,-13.02364280600347
48,36.0,4.0,0.7188110065523294,0.2217150227830298,3.5851562793462737,0.27191414519371304,0.339759476013578,5.837657399763075,-11.975615230854872
49,36.0,5.0,0.1988601064642348,0.8170766374434032,3.460006272018351,0.19886010646423471,0.8170766374434033,3.4600062720183495,-14.093612036064489
50,37.0,1.0,0.6641939513927719,0.0003228699890694964,3.1049895212283145,0.16662663019092866,0.36007351598637266,9.366028521916913,-10.1719458905437
51,37.0,2.0,0.6843923808904446,0.7953135175326274,3.107306537855749,0.16662734978824206,0.360073165317437,9.366011567685852,-10.171945321524541
52,37.0,3.0,0.17753192939529439,0.5620308531036345,4.018470175560671,0.1775319293952943,0.5620308531036345,4.018470175560671,-12.064353303840308
53,37.0,4.0,0.4471241044435249,0.3806736571944802,3.8462166446721815,0.16662749951907713,0.36007384604414905,9.366015484594616,-10.171947037779045
54,37.0,5.0,0.8743091355453245,0.08288209463545204,2.4445354113643396,0.1882001230452836,0.42032657086285036,8.89990220696528,-10.564812165987743
55,38.0,1.0,0.6914561999502838,0.903819774946039,2.542808779300537,0.12265891611135087,0.2558399717892973,10.292808842002422,-9.866174061149856
56,38.0,2.0,0.7289475350920739,0.13983708372316206,4.6556391006001805,0.3640968789854202,1.0,3.941850678988236,-12.141082954991088
57,38.0,3.0,0.6234693453695244,0.3662957055198447,2.1419850888321075,0.12265949715334241,0.2558407356363344,10.292795702594272,-9.866169925676417
58,38.0,4.0,0.627369575721298,0.3751888496665814,2.937070701613647,0.12265979767220751,0.2558415938995355,10.292794374776363,-9.866171419515997
59,38.0,5.0,0.6147412529701174,0.014347986009987213,3.4621814590022186,0.24577752792191648,0.5551437707705484,7.482710542538404,-11.177602361198677
60,39.0,1.0,0.3598714156135655,0.7136711998316849,3.0415180493297416,0.14710391535048983,0.2706695448624809,7.148356049729631,-12.641722380615025
61,39.0,2.0,0.20336950452188218,0.6025219427124652,2.2520482542341558,0.20336950452188227,0.6025219427124653,2.252048254234155,-15.631222585144574
62,39.0,3.0,0.6381926475155733,0.11553560903874538,2.3462860201507136,0.147104163456614,0.2706700496344382,7.148366820564986,-12.641719878208562
63,39.0,4.0,0.03599872369406332,0.09000809361943984,4.818447269633648,0.03599872369406332,0.09000809361943984,4.8184472696336496,-16.602470373035718
64,39.0,5.0,0.4522036318930045,0.34374655604793614,3.229224290210724,0.14710337278172494,0.2706686950228009,7.148375513157177,-12.641713064463332
65,40.0,1.0,0.23947782268069906,0.6877737356851468,4.704453510258507,0.23947782268069914,0.6877737356851467,4.7044535102585066,-15.617496176156056
66,40.0,2.0,0.9251114493007436,0.26448613024036327,3.235868632548426,0.2575756376977222,0.6406509980128536,4.945494916776671,-15.843906292768164
67,40.0,3.0,0.6183341985900851,0.8919286366695283,2.1168453609482207,0.19769536040095964,0.5223356180387415,5.751838634861736,-15.641930315106539
68,40.0,4.0,0.007808235119141416,0.10817438960736148,4.086284381489419,0.007808235119141416,0.10817438960736148,4.08628438148942,-20.778969692043756
69,40.0,5.0,0.8517948247328522,0.9586222702028435,3.4434794580026944,0.26020207912921245,0.2060726114704922,3.223912571878659,-16.994326386880502
70,41.0,1.0,0.4374488860778831,0.3484070135268076,2.7495300697661236,0.08435740142726673,0.3514899539820004,16.081799879269106,-11.303330825436717
71,41.0,2.0,0.41958006101692014,0.2215939169967348,4.546050290619195,0.0843582894994576,0.3514916933571358,16.081721669689593,-11.303333795717297
72,41.0,3.0,0.5640807268850346,0.08667605178219617,2.795222716774805,0.08435734494870839,0.35149137550464227,16.081787635013644,-11.303336673018867
73,41.0,4.0,0.7971047809189157,0.3022249307385678,3.490037148166859,0.18288141855129159,0.5472374183945365,12.153974968856247,-12.216245322630737
74,41.0,5.0,0.28249220058464586,0.9979471664014631,3.562164085353018,0.28249220058464586,0.997947166401463,3.562164085353018,-14.390667382616538
75,42.0,1.0,0.7197157405860725,0.9035007916133189,3.4676432454667134,0.15709452570293908,0.37975343093862857,9.640121986499816,-10.80419801397558
76,42.0,2.0,0.8571054233715751,0.8041600062369318,3.533159500941052,0.18433652778689627,0.4456954152182334,8.959428267525045,-11.096112086621776
77,42.0,3.0,0.9925774878251034,0.7323609141494942,4.6135918177896915,0.25014996763136643,0.22218461997710143,5.832486323313061,-12.576610862107469
78,42.0,4.0,0.288904183228857,0.19779928989078743,4.6454049828611375,0.15709451378903508,0.37975369825316774,9.640123395029034,-10.804199663688605
79,42.0,5.0,0.927330550264212,0.3181070187399546,3.683274356896012,0.1570945489894679,0.3797542390813726,9.640119047266873,-10.804195970161906
80,43.0,1.0,0.10594176856368731,0.3898441289198933,4.895432906442446,0.10594176856368735,0.3898441289198934,4.895432906442447,-11.955332744651097
81,43.0,2.0,0.14072628146518562,0.31740741217722046,4.321439061040034,0.14072628146518568,0.3174074121772205,4.321439061040034,-11.661273743887074
82,43.0,3.0,0.8223495623758349,0.3202870010469637,2.349273476245944,0.2964998160488041,0.5877107572511362,7.062329722580192,-11.145061044350456
83,43.0,4.0,0.9360453345049385,0.9657669994948163,4.994746408851316,0.30340348237782383,0.642026394350973,5.576083034309271,-11.171448789036472
84,43.0,5.0,0.8438865667274323,0.7401484483358147,2.0423520528326726,0.18317784627931072,0.3173708796086589,9.462328402486438,-9.4526170790304
